,pattern,keyword,concept,origin
437,klimaleugner,"Rechte Parteien machen Klimaleugner * innen bewusst politische Angebote - Blog Postwachstum Postwachstumspositionen : Vereinnahmung von Rechts ? - KatapultMagazin Naturschutz der Nazis : Vogelkunde wie bei Hitler - Juli Guano Project Vogelschiss - Die Graphic Novel gegen Rechts - Juli POLIS Report der Deutschen Vereinigung für politische Bildung ( DVPB ) Kauhausen , Klara / Passeick , Yannick : Völkischer Klimaschutz ? !",person,P2022
415,klimaleugner,"Also Klimaleugner wenden sich gegen eine Satire , die letztlich die Klimabewegung als „ Klimahysterie "" anprangert , dies deshalb , weil es diese verbohrten Ideologen von rechtsaußen intellektuell nicht verstanden haben , und einen Sündenbock , bzw . einen Aufhänger im Kampf gegen die „ Lügenpresse "" gesucht und gefunden haben .",person,P2022
416,klimaleugner,"Ich sehe da ein Muster einer einseitigen Berichterstattung , ganz im Sinne der Klimaleugner , oder wie im Fall Köhlers der Autoindustrie , denn eine Form des Leugnens der wissenschaftlichen Fakten zur bevorstehenden Klimakatastrophe besteht darin , diese Tatsachen ins lächerliche zu ziehen , in seiner Bedeutung herunter zuspielen , oder auch diese Bedrohungsszenarien als „ hysterisch "" zu bezeichnen ( wobei die Wurzel dieses Wortes , auch bei Freud , schon einen diskriminierenden Charakter hatte : Gegen Frauen ) Mir ist zB . nicht bekannt , dass die mE berechtigte Empörungs "" welle "" gegen Dieter Nuhr ( Satire , ARD , NDR ) wegen regelmäßiger Tiefschläge gegen Greta und FFF zu irgendwelchen Konsequenzen , oder gar einer Absetzung seiner Show geführt hätte .",person,P2022
419,klimaleugner,"Daher haben wir euch ein umfassendes , spannendes Programm auf die Beine gestellt und deswegen lohnt es sich mitzumachen : · Expert * innen vermitteln den neuesten Stand der wissenschaftlichen Erkenntnisse · Vielfältige Infos machen euch argumentationssicher gegen Klimaleugner * innen · Themen wie Rassismus , Feminismus und struktureller Diskriminierung werden behandelt · Interessante Berufsfelder werden aufgezeigt · Lösungsansätze für ökologische , soziale und ökonomische Probleme erarbeitet · Und ihr könnt engagierte Mitstreiter * innen kennenlernen !",person,P2022
428,klimaleugner,Für Klimaleugner * innen im Wortsinn ist die Existenz der menschengemachten Klimakrise nichts als eine Lüge .,person,P2022
434,klimaleugner,Es gibt auffällig viele Klimaleugner * innen sowohl in der gemäßigten als auch in der extremen Rechten .,person,P2022
410,klimaleugner,Als DiplomIngenieur sollten Sie anstatt der AfD oder irgendwelchen anderen Klimaleugnern lieber der überwiegenden Mehrzahl der Klimaforscher glauben .,person,P2022
418,klimaleugner,""" Nicht verwunderlich dass daher auch gerade die entsprechende Presse ( BILD etc . ) sich an der Kürung dieses Unwortes reibt und eine Diffamierung der Bürger sieht , „ die sich an den radikalen Auswüchsen der KlimaschutzBewegung stören "" Gemäß einem Kommentar in der „ Zeit "" , sind die wahren „ Klimahysteriker "" die Klimaleugner , deren „ Scheinrealität , in der nicht zuletzt die Gesetze der Physik pseudowissenschaftlich neu definiert werden "" zur „ Weigerung manch älterer Männer [ führt ] die Realitäten des Klimawandels anzuerkennen "" Leider sitzen solchermaßen ideologisierende Herren , wie das Kinderliedchen mit der Oma zeigt , auch ganz ganz oben im WDR ( oder der „ Welt "" ) , und unser Fallbeispiel offenbart doch auch ganz klar , wer wirklich die „ Hysteriker "" und irrational Empörten sind . . , jedenfalls nicht die Klimabewegung und nicht FFF !",person,P2022
423,klimaleugner,"Dennoch gibt es Menschen , die sich wissenschaftlicher Erkenntnis verweigern : sogenannte Klimaleugner * innen .",person,P2022
417,klimaleugner,"Eine letztlich Frauenfeindliche Ideologie , die heute in ihrem gegenaufklärerischen Charakter „ gut "" zu den Bestrebungen der Klimaleugner passt , die notwendigen Klimaschutzmaßnahmen zu blockieren .",person,P2022
