original,second_part,noun_forms,lemma,genus,compound_forms
klimaskeptikerin,skeptikerin,"['skeptikerinnen', 'skeptikerin']",skeptikerin,f,"['klimaskeptikerinnen', 'klimaskeptikerin']"
klimaskeptizismus,skeptizismus,['skeptizismus'],skeptizismus,m,['klimaskeptizismus']
klimasozialismus,sozialismus,"['sozialismus', 'sozialismen']",sozialismus,m,"['klimasozialismus', 'klimasozialismen']"
klimaspinner,spinner,"['spinner', 'spinnern', 'spinners']",spinner,m,"['klimaspinner', 'klimaspinnern', 'klimaspinners']"
klimastaat,staat,"['staats', 'staate', 'stäte', 'staat', 'stäten', 'staaten', 'staates']",staat,m,"['klimastaats', 'klimastaate', 'klimastäte', 'klimastaat', 'klimastäten', 'klimastaaten', 'klimastaates']"
klimastopp,stopp,"['stopps', 'stopp']",stopp,m,"['klimastopps', 'klimastopp']"
klimastreit,streit,"['streite', 'streiten', 'streits', 'streites', 'streit']",streit,m,"['klimastreite', 'klimastreiten', 'klimastreits', 'klimastreites', 'klimastreit']"
klimastreiter,streiter,"['streiter', 'streitern', 'streiters']",streiter,m,"['klimastreiter', 'klimastreitern', 'klimastreiters']"
klimataliban,taliban,"['talibans', 'taliban']",taliban,m,"['klimatalibans', 'klimataliban']"
klimateppich,teppich,"['teppich', 'teppiche', 'teppichs', 'teppichen']",teppich,m,"['klimateppich', 'klimateppiche', 'klimateppichs', 'klimateppichen']"
klimateufel,teufel,"['teufel', 'teufeln', 'teufels']",teufel,m,"['klimateufel', 'klimateufeln', 'klimateufels']"
klimatheater,theater,"['theaters', 'theatern', 'theater']",theater,n,"['klimatheaters', 'klimatheatern', 'klimatheater']"
klimatheologie,theologie,"['theologie', 'theologien']",theologie,f,"['klimatheologie', 'klimatheologien']"
klimatod,tod,"['todes', 'tode', 'tod', 'tods', 'toden']",tod,m,"['klimatodes', 'klimatode', 'klimatod', 'klimatods', 'klimatoden']"
klimatrash,trash,"['trashs', 'trash']",trash,m,"['klimatrashs', 'klimatrash']"
klimatraumatisierung,traumatisierung,"['traumatisierungen', 'traumatisierung']",traumatisierung,f,"['klimatraumatisierungen', 'klimatraumatisierung']"
klimatrip,trip,"['trip', 'trips']",trip,m,"['klimatrip', 'klimatrips']"
klimatyrannei,tyrannei,"['tyrannei', 'tyranneien']",tyrannei,f,"['klimatyrannei', 'klimatyranneien']"
